Sentence,Verb_index,Verb,Verb_lemma,Prefix,Stem,Subject,Preposition,Object,Object_case,Object_lemma,Unified_preposition,Motion_type,
"До складу перевірених за гендерних аудитом інституцій (вісім) увійшли державні заклади, що надають послуги, які є пріоритетними для дівчат та жінок із інвалідністю або жінок, які мають дітей з інвалідністю.",8,увійшли,увійти,в,іти́/йти́,заклади,до,складу,Gen,склад,До,metaphorical,
"Правоохоронці встановили, що зловмисник виходив на «полювання» уночі.",4,виходив,виходити,ви,ходи́ти,зловмисник,на,полювання,Acc,полювання,На,literal,
"Захист насіння Bayer представлений в достатньо широкій лінійці різних високоефективних засобів та інноваційних препаратів, до складу яких входять ефективні і безпечні для людей і тварин біологічні та хімічні діючі речовини.",17,входять,входити,в,ходи́ти,речовини,до,складу,Gen,склад,До,metaphorical,
"В програму входить опрацювання розмовних тем і граматичних конструкцій, перегляд та опрацювання відео та аудіо матеріалу тощо.",2,входить,входити,в,ходи́ти,опрацювання,в,програму,Acc,програма,В,metaphorical,
"До числа найпопулярніших гаманців даного типу можна віднести Toast Wallet, а також Dice Wallet.",7,віднести,віднести,від,нести́,,до,числа,Gen,число,До,metaphorical,
"На сьогоднішній стан педагогічної культури впливають такі зовнішні чинники як: середовище проживання, суспільно-професійний тип сім% актуальні зміни (безробіття, ритм життя, брак часу, обмеження у педагогічній освіті батьків).",5,впливають,впливати,в,пла́вати,чинники,на,стан,Acc,стан,На,metaphorical,another meaning
"Супорт в цих країнах так само б відніс до північного стилю ультрас, оскільки дуже часті паузи між зарядами, ну а багато тем в зухвальмо скопійовано у італійців.",7,відніс,віднести,від,нести́,,до,стилю,Gen,стиль,До,metaphorical,
"Від російської громади купців маклерами були призначені три чоловіки, від іноземної - два, а також по одному нотаріусу від кожної з громад. До обов'язків маклерів і нотаріусів входило укладення угод-договорів з товарами, запис векселів та ін.",27,входило,входити,в,ходи́ти,укладення,до,обов'язків,Gen,обов’язок,До,metaphorical,
"Одеська дирекція ВАТ “Укртелеком” доводить до відома споживачів про тимчасове припинення замовлень на послугу ""Довідка про номер телефону"" по абонентах квартирного сектору населених пунктів Росії.",4,доводить,доводити,до,води́ти,дирекція,до,відома,Gen,відомий,До,metaphorical,
Він привів на польський ринок британського виробника масок.,1,привів,привести,при,вести́,Він,на,ринок,Acc,ринок,На,metaphorical,
"У 1913 р. редагував більшовицький легальний журнал «Вопросы страхования», у 1914 р. входив до складу редколегії газети «Правда».",12,входив,входити,в,ходи́ти,,до,складу,Gen,склад,До,metaphorical,
"Сергій Макаров додає: якщо кліщ, якого ви віднесли в лабораторію, не заражений, то існують ризики, що ви могли не помітити укус зараженого кліща.",7,віднесли,віднести,від,нести́,ви,в,лабораторію,Acc,лабораторій,В,literal,
"Я не прийшов в монастир, а залишився в монастирі»",2,прийшов,прийти,при,іти́/йти́,Я,в,монастир,Acc,монастир,В,literal,
"Якщо говорити про частиномовну приналежність лексем, які необхідні для розуміння української мови хоча б на рівні А1, то цілком зрозуміло, що до переліку найнеобхідніших ввійдуть слова з абсолютно всіх частин мови.",24,ввійдуть,ввійти,в,іти́/йти́,слова,до,переліку,Gen,перелік,До,metaphorical,
"Такі обсяги державного боргу, у 2,8 раза більші, ніж звітує Міністерство фінансів, створюють реальну загрозу економічній безпеці держави та зводять до надзвичайно низького рівня її інвестиційний рейтинг.",19,зводять,зводити,з,води́ти,,до,рівня,Gen,рівень,До,metaphorical,
"По можливості слід виявити в кожному випадку основні етіологічні та патогенетичні фактори, щоб активно впливати на них.",14,впливати,впливати,в,пла́вати,,на,них,Acc,вони,На,metaphorical,another meaning
"У жовтні Сома Морґенштерн змушений виїхати до табору у Монтаржі, тоді ж дізнається про загибель брата Мозеса у Бухенвальді.",5,виїхати,виїхати,ви,ї́хати,,до,табору,Gen,табір,До,literal,
"Знайти баланс між декількома різними точками зору досить важко, тому менеджерам будь-яких ланок необхідно контролювати настрої в тій чи іншій групі та за нездатності впливати на їх позицію, виникає потреба знаходити точку комромісу між сторонами.",24,впливати,впливати,в,пла́вати,,на,позицію,Acc,позиція,На,metaphorical,another meaning
"Другу книгу «Я лиш струна на арфі України» Олександра вичитала, але за життя так і не побачила надрукованої книги, збірка вийшла вже в пам’ять про неї.",20,вийшла,вийти,ви,іти́/йти́,збірка,в,пам’ять,Acc,пам’ять,В,metaphorical,
"До прояву гіпоглікемії відносять наступні симптоми: прискорене серцебиття, підвищене потовиділення, тремтіння рук, алергічні прояви у вигляді висипки або свербежу шкірного покриву, розвиток слабкості.",3,відносять,відносити,від,носи́ти,,до,прояву,Gen,прояв,До,metaphorical,
"До їх складу входять відомі в народній медицині лікарські рослини: квіти пижма, листя перцевої м’яти, подрібнена трава буркуну і рубане кореневище оману.",3,входять,входити,в,ходи́ти,рослини,до,складу,Gen,склад,До,metaphorical,
Ми затягли дядька на ґанок.,1,затягли,затягти,за,тягти́,Ми,на,ґанок,Acc,ґанок,На,literal,
"Ми прийшли на фестиваль з нашого кіноклубу Діалог, коли той вже не був оглядом студентських стрічок, але був оглядом колишніх республік Радянського Союзу.",1,прийшли,прийти,при,іти́/йти́,Ми,на,фестиваль,Acc,фестиваль,На,literal,
Компанія входить в транснаціональну корпорацію «Норд Газ Груп».,1,входить,входити,в,ходи́ти,Компанія,в,корпорацію,Acc,корпорація,В,metaphorical,
"Чи зупиняли ви себе, вагаючись: «Як підійти до незнайомої людини?",6,підійти,підійти,під,іти́/йти́,,до,людини,Gen,людина,До,literal,
"Пекучим смаком імбир зобов'язаний фенолоподобній речовині гингеролу, входить до його складу.",7,входить,входити,в,ходи́ти,,до,складу,Gen,склад,До,metaphorical,
"Таргетні препарати впливають на молекулярні структури — зовнішньо- й внутрішньоклітинні рецептори, білки, які продукують клітини пухлини, а також на кровоносні судини пухлини.",2,впливають,впливати,в,пла́вати,препарати,на,структури,Acc,структура,На,metaphorical,another meaning
"Начальник відділу культури, національностей та релігії Бородянської РДА Наталія Вишинська довела до відома присутніх про нагальну потребу в придбанні нової апаратури для Бородянського районного Палацу культури ім.Т.Г. Шевченка.",10,довела,довести,до,вести́,Начальник,до,відома,Gen,відомий,До,metaphorical,
"Г. Почепцов визначає інформаційні війни як «інформаційні технології, що впливають на інформаційні системи, маючи на меті введення в оману, виведення з ладу або десинхронізацію процесів управління суспільством та його складовими, передусім військовими».",9,впливають,впливати,в,пла́вати,,на,системи,Acc,система,На,metaphorical,
Час стрімко і невпинно вносить корективи в усі галузі життя.,4,вносить,вносити,в,носи́ти,Час,в,галузі,Acc,галузь,В,metaphorical,
Відповідні зміни внесли у свої програми і місцеві ради.,2,внесли,внести,в,нести́,,у,програми,Acc,програма,В,metaphorical,
"В другій половині 19 ст. одна частина району входила до Олександрійського повіту Херсонської губернії, інша - до Верходніпровського, Єкатеринославської губернії.",8,входила,входити,в,ходи́ти,частина,до,повіту,Gen,повіт,До,metaphorical,
"Три типи тривоги переплетені поміж собою таким чином, що один із них задає загальний тон, а всі инші вносять додаткові відтінки в стан тривоги.",18,вносять,вносити,в,носи́ти,инші,в,стан,Acc,стан,В,metaphorical,
"До Плану комплексних планових заходів державного нагляду (Наказ Мінекономрозвитку від 30.11.2015 № 1553) увійшли понад 13 тисяч компаній різних форм власності, з різних секторів економіки та з різними ступенями ризику.",13,увійшли,увійти,в,іти́/йти́,,до,Плану,Gen,план,До,metaphorical,
Інші можемо потім привести у відповідність до нього.,3,привести,привести,при,вести́,,у,відповідність,Acc,відповідність,В,metaphorical,
"Серед видатних письменників минулого, творчість яких увійшла в скарбницю світової культури, почесне місце займає класик єврейської літератури Шолом-Алейхем.",6,увійшла,увійти,в,іти́/йти́,творчість,в,скарбницю,Acc,скарбниця,В,metaphorical,
Одразу ж на виклик виїхали чотири бригади обласного центру екстреної медичної допомоги та медицини катастроф.,4,виїхали,виїхати,ви,ї́хати,бригади,на,виклик,Acc,виклик,На,literal,
"V-twin відповідає стандарту EURO4 щодо викиду відпрацьованих газів, входить до числа лідерів у своєму класі за паливною економічністю (3,84 л/100 км*) та максимальною вихідною потужністю.",8,входить,входити,в,ходи́ти,,до,числа,Gen,число,До,metaphorical,
"Після тривалого обговорення присутні прийшли до спільного знаменника: необхідно маркувати продукцію РФ, а покупець сам вирішить, купувати її чи ні.",4,прийшли,прийти,при,іти́/йти́,присутні,до,знаменника,Gen,знаменник,До,metaphorical,
"До порядку денного засідання було внесено 19 питань, кожне з яких є доволі важливим для громад району.",5,внесено,внести,в,нести́,,до,порядку,Gen,порядок,До,metaphorical,
"Це вже було помітно із результатів попередніх парламентських виборів - частина голосів, які раніше мала ""Наша Україна"", відійшла до Блоку Юлії Тимошенко.",17,відійшла,відійти,від,іти́/йти́,,до,Блоку,Gen,блок,До,metaphorical,
"Я закликаю усі держави, які ще не вжили таких заходів, зробити цей невідкладний та важливий крок із захисту здоров’я людей — увести в дію закони, що накладають повну заборону на паління у всіх закритих громадських та робочих місцях».",21,увести,увести,в,вести́,,в,дію,Acc,дія,В,metaphorical,
"Наприкінці 2018 року уряд схвалив та вніс у Верховну Раду ""Про адміністративну процедуру"" (№ 9456).",6,вніс,внести,в,нести́,,у,Раду,Acc,рада,В,metaphorical,
"Відповідно і здійснення правотворчості відбувається за участю не окремого суб'єкта правотворчості, а всіх, хто впливає на здійснення правотворчої діяльності.",14,впливає,впливати,в,пла́вати,хто,на,здійснення,Acc,здійснення,На,metaphorical,another meaning
Основний спосіб заповнення декларації — електронний лікар внесе Ваші дані в систему.,7,внесе,внести,в,нести́,лікар,в,систему,Acc,система,В,metaphorical,
"Біловодське відділення управління виконавчої дирекції Фонду соціального страхування України у Луганській області нагадує працівникам і роботодавцям, що виконання правил безпеки зводить до мінімуму вірогідність настання нещасних випадків на виробництві.",20,зводить,зводити,з,води́ти,виконання,до,мінімуму,Gen,мінімум,До,metaphorical,
Але ціна квитка доходить майже до 20 євро.,3,доходить,доходити,до,ходи́ти,ціна,до,євро,Gen,євро,До,metaphorical,
"Як доказ єдності депутатів довкола гендерних проблем Ковалевська наводить приклад їхнього міжфракційного об’єднання - до нього увійшло 15 депутатів, з них троє - чоловіки.",16,увійшло,увійти,в,іти́/йти́,депутатів,до,нього,Gen,він,До,metaphorical,
"Оскільки у мене є незначні проблеми із здоров’ям, які дозволяють пересуватись, говорити, я прийшов сьогодні в управління, щоб ознайомитись із наказам і підписати його.",13,прийшов,прийти,при,іти́/йти́,я,в,управління,Acc,управління,В,literal,
"Вперше зачитала свій твір Вероніка Ніколаєва, і вийшло це в неї дуже душевно.",7,вийшло,вийти,ви,іти́/йти́,це,в,неї,Acc,вона,В,metaphorical,
"Перетнувши смугу зустрічного руху на повороті, автомобіль виїхав з проїжджої частини у кювет та зіткнувся з металевим дорожнім знаком.",7,виїхав,виїхати,ви,ї́хати,автомобіль,у,кювет,Acc,кювет,В,literal,
"У цьому році на XXII конференцію приїхали науковці з різних регіонів України: Вінниці, Дніпра, Каменського, Києва, Сєверодонецька, Харкова та інших міст, а також представники підприємств із України та Росії.",6,приїхали,приїхати,при,ї́хати,науковці,на,конференцію,Acc,конференція,На,literal,
Привести до гіперчутливості на певні речовини можуть різні фактори.,0,Привести,привести,при,вести́,,на,речовини,Acc,речовина,На,metaphorical,
А потім на святкову сцену вийшли самодіяльні митці Здолбунівщини.,5,вийшли,вийти,ви,іти́/йти́,митці,на,сцену,Acc,сцена,На,literal,
"На передній план лінгвофілософських досліджень виходять проблеми вивчення «чужої свідомості», природи інтенціональних станів, конвенціональних основ значення і спілкування, ситуацій і установок, фактів, раціональної теорії аргументації та рішень тощо.",5,виходять,виходити,ви,ходи́ти,проблеми,на,план,Acc,план,На,metaphorical,
У цій ситуації необхідно ввести руку в піхву і виправити становище ложок.,4,ввести,ввести,в,вести́,,в,піхву,Acc,піхва,В,literal,
"На відміну від вітчизняних інвесторів, для оплати придбаних ОВДП нерезиденти заводили в країну валюту та продавали її.",10,заводили,заводити,за,води́ти,нерезиденти,в,країну,Acc,країна,В,metaphorical,
"Також цей альбом буде першим для нової групи Blaze'а, до складу якої входять гітаристи Nico Bermudez і Jay Walsh, басист David Bermudez і драмер Lawrence Paterson"".",12,входять,входити,в,ходи́ти,гітаристи,до,складу,Gen,склад,До,metaphorical,
"Саме у цей світлий день люди приносять додому освячене в церквах духмяне зілля, а разом з ним — мир і Боже благословення.",6,приносять,приносити,при,носи́ти,люди,у,день,Acc,день,В,literal,
"До складу даних блоків входять тільки природні, натуральні матеріали: вода, глина, вапно, цемент і пісок.",4,входять,входити,в,ходи́ти,матеріали,до,складу,Gen,склад,До,metaphorical,
"Відомий політичний діяч, посол до польського сейму Степан Баран, до виборчого округу якого входили прикордонні повіти Тернопільщини, повідомляв: часу передираються до нас селяни понад густий більшовицький кордон.",13,входили,входити,в,ходи́ти,повіти,до,округу,Gen,округ,До,metaphorical,
"З цією метою вони тримають у кредитних установах, що входять до їх складу, накопичені резерви в різних видах цінних паперів і ведуть поточні рахунки.",9,входять,входити,в,ходи́ти,,до,складу,Gen,склад,До,metaphorical,
"Хакери навчилися заходити в файлову систему консолі, ставити на неї Linux і неофіційну прошивку PS4HEN.",2,заходити,заходити,за,ходи́ти,,в,систему,Acc,система,В,metaphorical,
Це може привести до двох ліній у поведінці дитини.,2,привести,привести,при,вести́,,до,ліній,Gen,лінія,До,metaphorical,
Мікроби вже здатні навіть впливати на час цвітіння!,4,впливати,впливати,в,пла́вати,,на,час,Acc,час,На,metaphorical,another meaning
"Та й тут їх спіткала невдача: новозавербований жодної цікавої інформації не надав, тому вводити його у розробку колишньої троцькісти не наважилися.",13,вводити,вводити,в,води́ти,,у,розробку,Acc,розробка,В,metaphorical,
Через свої комплекси Віктор довго не може наважатися зайти в місцевий Будинок культури на побачення-п’ятихвилинки.,8,зайти,зайти,за,іти́/йти́,,в,Будинок,Acc,будинок,В,literal,
"З 1926 року в обов’язки Й.Сліпого входило членство Кураторії Львівського Національного Музею, з 1930-го — він член Наукового товариства імені Шевченка (НТШ), по суті.",6,входило,входити,в,ходи́ти,членство,в,обов’язки,Acc,обов’язок,В,metaphorical,
"Практично перші «бойові» сто днів (О.Р. Стеціва призначили на посаду головного лікаря Новороздільської міської лікарні 3 грудня минулого року) відзначає на посаді Олег Романович, тож уже повністю увійшов у курс справ.",27,увійшов,увійти,в,іти́/йти́,,у,курс,Acc,курс,В,metaphorical,
"Організовуйте побачені завдатки через ігрові ситуації, вносьте в її життя такі предмети, які є наповнювальними для даної професії.",6,вносьте,вносити,в,носи́ти,,в,життя,Acc,життя,В,metaphorical,
З цією метою у штат працівників виконкому введено додаткову посаду.,7,введено,ввести,в,вести́,,у,штат,Acc,штат,В,metaphorical,
"І доки поліція намагається вийти на його слід, молодь сама знаходить спосіб свого порятунку.",4,вийти,вийти,ви,іти́/йти́,,на,слід,Acc,слід,На,metaphorical,
Основним завданням Малої семінарії є допомогти юнакові зробити вільний вибір свого майбутнього та виховувати його до життя у спільноті; ввести його у молитовне й таїнственне життя Церкви.,19,ввести,ввести,в,вести́,,у,життя,Acc,життя,В,metaphorical,
Тепер же обласна влада Франківщини вирішила внести у цю культурно-комерційну сферу присмак «туги за всім українським» та елементи патріотичного виховання.,6,внести,внести,в,нести́,,у,сферу,Acc,сфера,В,metaphorical,
"Наукові розробки в руслі даного напрямку можна віднести до переліку невичерпних проблем,завжди відкритих для подальших досліджень: змінюється світ, вдосконалюються механізми номінації, а разом з ними оновлюється мовна картина світу.",7,віднести,віднести,від,нести́,,до,переліку,Gen,перелік,До,metaphorical,
"Вітер піднімає пил і сміття, приводить у рух тонкі гілки дерев Хвилі подовжені, баранчики видно в багатьох місцях.",5,приводить,приводити,при,води́ти,,у,рух,Acc,рух,В,metaphorical,
"«- Я прийняла присягу ще й тому, що на власні очі бачила, як ворог прийшов на схід нашої України… Це було дуже страшно та важко… Я зрозуміла, що потрібна нашим хлопцям.",14,прийшов,прийти,при,іти́/йти́,ворог,на,схід,Acc,схід,На,literal,
Хто входить до складу комісії з питань щодо відключення споживачів від мереж центрального опалення та гарячого водопосточання (тобто переходу на автономне опалення)?,1,входить,входити,в,ходи́ти,Хто,до,складу,Gen,склад,До,metaphorical,
"Хоча алатир настільки багатозначний, що сказати точно, що він принесе у життя важко.",9,принесе,принести,при,нести́,він,у,життя,Acc,життя,В,metaphorical,
"Такий розподіл входить в різні нормативні документи, є основою для складання програм, розрахунків та ін. Не зважати на світовий емпірічний досвід немає підстав.",2,входить,входити,в,ходи́ти,розподіл,в,документи,Acc,документ,В,metaphorical,
"Безумовно, збільшення прямих і непрямих витрат на продаж впливає на фінансову стійкість компанії.",8,впливає,впливати,в,пла́вати,збільшення,на,стійкість,Acc,стійкість,На,metaphorical,another meaning
"Адже, до повноважень входить і контроль над харчовою промисловістю.",3,входить,входити,в,ходи́ти,контроль,до,повноважень,Gen,повноважня,До,metaphorical,
Американська компанія відновила будівельні роботи та успішно довела їх до кінця.,7,довела,довести,до,вести́,,до,кінця,Gen,кінець,До,metaphorical,
"Показали героя в момент, скажімо так, «кульмінації» як поета, коли він виходить в літературному кафе на сцену, намагається нарешті прочитати свої вірші хоч маленькій аудиторії – і тут на нього нападає гикавка.",11,виходить,виходити,ви,ходи́ти,він,на,сцену,Acc,сцена,На,literal,
"До складу активних центрів входять залишки гістидину, тирозину, аспарагінової та глутамінової кислот.",4,входять,входити,в,ходи́ти,залишки,до,складу,Gen,склад,До,metaphorical,
Настої з насіння приведуть в порядок нервову систему і додадуть сил.,3,приведуть,привести,при,вести́,Настої,в,порядок,Acc,порядок,В,metaphorical,
"У каструлю налити молоко, поставити на сильний вогонь, довести до кипіння.",8,довести,довести,до,вести́,,до,кипіння,Gen,кипіння,До,metaphorical,
"У серпневому “вівторку патчів” Microsoft випустила черговий пакет оновлень, до якого увійшло 14 бюлетней по безпеці.",11,увійшло,увійти,в,іти́/йти́,бюлетней,до,якого,Gen,який,До,metaphorical,
"Підприємство, що не входить до об’єднань ПХП «УКРХЛІБПРОМ», ВАП сплачує за освітні послуги за одну особу 2000 грн.",3,входить,входити,в,ходи́ти,,до,об’єднань,Gen,об’єднання,До,metaphorical,
"До психолого-педагогічної допомоги слід віднести проведення бесід, лекцій, надання педагогічних порад і психолого - корекційної допомоги.",4,віднести,віднести,від,нести́,,до,допомоги,Gen,допомога,До,metaphorical,
"Сьогодні, 7 березня, рівно рік тому у ефір вийшов перший котячий телеканал КЕТ (тоді він ще називався ""САТ"").",8,вийшов,вийти,ви,іти́/йти́,телеканал,у,ефір,Acc,ефір,В,metaphorical,
"До закладу вищої освіти щосуботи приїздить молодь з різних регіонів України, аби детально ознайомитись і визначитись із творчими та бізнес-спеціальностями та познайомитися із зірковими викладачами й студентами.",5,приїздить,приїздити,при,ї́здити,молодь,до,закладу,Gen,заклад,До,literal,
"За словами Олександра Левченко, в університеті планується внести зміни у процедуру визначення рейтингів кафедр КНТУ та доповнити критерії атестації, зокрема, щодо наявності публікацій саме у тих наукових виданнях, які індексуються Scopus, Web of Science.",7,внести,внести,в,нести́,,у,процедуру,Acc,процедура,В,metaphorical,
"На період 2018 року сонячні батареї все частіше входять в наше життя, хоча ще якісь 10 років тому їх можна було зустріти тільки в космічному просторі в якості енергії супутника.",8,входять,входити,в,ходи́ти,батареї,в,життя,Acc,життя,В,metaphorical,
Надсилання звітності через поштові скриньки закордонних провайдерів може привести до втрати інформації та блокуванню отримання квитанцій як спаму.,8,привести,привести,при,вести́,,до,втрати,Gen,втрата,До,metaphorical,
"Тисячі були змушені покинути звичне середовище і адаптуватися до нових умов. У них небагато можливостей виражати своє ставлення до того, як політична та економічна ситуація у країні впливає на їхні життя.",27,впливає,впливати,в,пла́вати,ситуація,на,життя,Acc,життя,На,metaphorical,another meaning
"Навіювання може позначатися на світогляді і стилі поведінки людини, воно впливає на його встановлення, трансформує їх і розвиває.",10,впливає,впливати,в,пла́вати,воно,на,встановлення,Acc,встановлення,На,metaphorical,another meaning
Критика постійно відносила Р. Федоріва до послідовних і яскравих представників «химерної» прози.,2,відносила,відносити,від,носи́ти,Критика,до,представників,Gen,представник,До,metaphorical,
"Сам по собі бактеріальний вагіноз не є небезпечним для життя хворої, але він може приводити до різноманітних ускладнень.",14,приводити,приводити,при,води́ти,,до,ускладнень,Gen,ускладнення,До,metaphorical,
"Весна поволі, але впевнено входить в нашу свідомість, навертає нас на благородні справи.",4,входить,входити,в,ходи́ти,,в,свідомість,Acc,свідомість,В,metaphorical,
Більшість приїде в суботу 26-го.,1,приїде,приїхати,при,ї́хати,Більшість,в,суботу,Acc,субота,В,literal,
"Але нині, після того як у лютому прийшов до влади промосковський президент Віктор Янукович, Росія, схоже, цілком забезпечила собі військовий плацдарм на українській території щонайменше до 2042-го.",7,прийшов,прийти,при,іти́/йти́,президент,до,влади,Gen,влада,До,metaphorical,
· Які особливості суспільно-політичного становища українських земель у першій половині XVII ст. мали впливати на розвиток культури?,13,впливати,впливати,в,пла́вати,,на,розвиток,Acc,розвиток,На,metaphorical,another meaning
"До відома присутніх було доведено інформацію про можливість застосування ІАС «Парус-Консультант» в бюджетних організаціях і сільських радах району, про основні можливості системи «Парус – Бюджет» для автоматизації бухгалтерського обліку.",4,доведено,довести,до,вести́,,до,відома,Gen,відомий,До,metaphorical,
"Персонал Виконавця не може гарантувати дотримання часу вирішення проблеми, оскільки на це можуть впливати незалежні від нього фактори.",13,впливати,впливати,в,пла́вати,,на,це,Acc,це,На,metaphorical,another meaning
"Є Бог, котрий увійшов у людську історію.",3,увійшов,увійти,в,іти́/йти́,котрий,у,історію,Acc,історія,В,metaphorical,
"Але так не відбулося, чисельність населення не досягла 1,3 млн. осіб, СРСР припинив своє існування, в наше життя прийшли такі поняття як приватна власність, відкритість влади, ринкова економіка і багато іншого.",18,прийшли,прийти,при,іти́/йти́,поняття,в,життя,Acc,життя,В,metaphorical,
"Особливо, коли Ви приводите його в рух.",3,приводите,приводити,при,води́ти,Ви,в,рух,Acc,рух,В,metaphorical,
Місто Малин входить до переліку території зони посиленого радіоекологічного контролю.,2,входить,входити,в,ходи́ти,Місто,до,переліку,Gen,перелік,До,metaphorical,
"До четвертої групи входять засоби, які змащують слизову оболонку кишечника — вазелінова, фенхелева та міндальна олії, рідкий парафін.",3,входять,входити,в,ходи́ти,засоби,до,групи,Gen,група,До,metaphorical,
