,Sentence,Verb_index,Verb,Verb_lemma,Prefix,Stem,Subject,Preposition,Object,Object_case,Object_lemma,Unified_preposition,Motion_type,Unnamed: 13,Gold_standard,Unnamed: 0,Wrapped
250,На старт нової першості Екстра-ліги зразка 2015-2016 років вийдуть одразу дев’ять українських клубів.,8,вийдуть,вийти,ви,іти́/йти́,клубів,на,старт,Acc,старт,На,literal,,gold,,
252,Цього року св. Миколай з Парафії св. Йоана Павла ІІ радісно приходив до дітей і дорослих.,11,приходив,приходити,при,ходи́ти,св,до,дітей,Gen,дитина,До,literal,,gold,,
261,"Коли почув гуркіт (хворий піднявся і хотів вийти), разом з медсестрами і санітарками забігли у палату.",13,забігли,забігти,за,бíгти,,у,палату,Acc,палата,В,literal,,gold,,
266,"Єврей прийшов до тями, підвівся на ноги й не знав, як дякувати доброму незнайомцю.",1,прийшов,прийти,при,іти́/йти́,Єврей,до,тями,Gen,тяма,До,literal,,gold,,
275,"На початку ХХІ століття кілька працівників музею вирішили здійснити подвижницький вчинок і занесли предмет до експозиційної зали «Єлисаветград промисловий», що було надскладним завданням, оскільки його вага – 150-200 кілограмів.",12,занесли,занести,за,нести́,,до,зали,Gen,зала,До,literal,,gold,,
279,На місце проведення робіт з вирубки чагарнику безкоштовно виїде фахівець для оцінки обсягів робіт.,8,виїде,виїхати,ви,ї́хати,фахівець,на,місце,Acc,місце,На,literal,,gold,,
280,"Для того, щоб продовжити свій кредит, Вам необхідно підійти в будь-яке відділення компанії і оформити додаткову угоду, сплативши суму процентів на день проведення пролонгації.",8,підійти,підійти,під,іти́/йти́,,в,відділення,Acc,відділення,В,literal,,gold,,
290,"Учнівська молодь, яка прийшла до нас, може вибрати в будь-якому об'єднанні Центру свій власний освітній маршрут, стати учасником різноманітних творчих, соціально - значущих проектів.",3,прийшла,прийти,при,іти́/йти́,яка,до,нас,Gen,ми,До,literal,,gold,,
293,Організатори запрошують виходити на Театральний майдан…,2,виходити,виходити,ви,ходи́ти,,на,майдан,Acc,майдан,На,literal,,gold,,
295,"А вивів його на побачення з воротарем Валерій Кучеров, прокинувши між двома захисниками м’яч у штрафний майданчик.",1,вивів,вивести,ви,вести́,,на,побачення,Acc,побачення,На,literal,,gold,,
296,"Приходили до нас письменники, поети, артисти, науковці та різне керівництво.",0,Приходили,приходити,при,ходи́ти,письменники,до,нас,Gen,ми,До,literal,,gold,,
303,На старт змагань також вийшло сім естафетних команд.,4,вийшло,вийти,ви,іти́/йти́,команд,на,старт,Acc,старт,На,literal,,gold,,
308,"Доречі, вперше за останні роки жоден міський керівник не прийшов на звітний концерт найбільшого колективу художньої самодіяльності міста.",9,прийшов,прийти,при,іти́/йти́,керівник,на,концерт,Acc,концерт,На,literal,,gold,,
312,"У справі було доведено, що в той час, коли П. викрадав рибу, до камери ніхто не заходив і його там ніхто не бачив.",16,заходив,заходити,за,ходи́ти,ніхто,до,камери,Gen,камера,До,literal,,gold,,
315,"І цим зірвали вже навчання однієї нашої бригади військових, які не змогли виїхати в Німеччину вчасно.",12,виїхати,виїхати,ви,ї́хати,,в,Німеччину,Acc,німеччина,В,literal,,gold,,
317,"Судіть самі - Путін не доїде до кожного села, та й навіть у меншенькій Україні 29 тисяч населених пунктів.",5,доїде,доїхати,до,ї́хати,Путін,до,села,Gen,село,До,literal,,gold,,
318,Учень: А та приходь до нас на уроки англійської!,3,приходь,приходити,при,ходи́ти,,на,уроки,Acc,урок,На,literal,,gold,,
321,"Десь 8 грудня приїхав на Майдан – хотів побачити, що люди роблять, чого хочуть, яка у них мета.",3,приїхав,приїхати,при,ї́хати,,на,Майдан,Acc,майдан,На,literal,,gold,,
325,"Тоді, ніби щось пригадавши, зупинилась, підійшла до нього й подивилася, здивовано й допитливо, йому в обличчя.",5,підійшла,підійти,під,іти́/йти́,,до,нього,Gen,він,До,literal,,gold,,
331,"Коли родина переселялася до нової оселі, обов'язково брали зі старої печі жарину і вносили її у нову хату, щоб запалити родинне вогнище в цій оселі.",13,вносили,вносити,в,носи́ти,,у,хату,Acc,хата,В,literal,,gold,,
332,"Тільки тоді українські військові відійшли до інших будівель аеропорту та навколишніх населених пунктів, де продовжують утримувати позиції й донині.",4,відійшли,відійти,від,іти́/йти́,військові,до,будівель,Gen,будівля,До,literal,,gold,,
336,"Останніми словами стара Мітяїха натякнула ца те, що про нього в хаті ще тільки манівцем говорили: Рая зайшла на дитину.",17,зайшла,зайти,за,іти́/йти́,Рая,на,дитину,Acc,дитина,На,literal,,gold,,
338,"Це ж так Бог зволив, аби проскури чистими приносив до церкви Божої безгрішний та бездоганний юнак.",8,приносив,приносити,при,носи́ти,юнак,до,церкви,Gen,церква,До,literal,,gold,,
341,Просто вийти на берег уже не вийде.,1,вийти,вийти,ви,іти́/йти́,,на,берег,Acc,берег,На,literal,,gold,,
348,"Оскільки у нас на факультативні заняття приходять люди, які багато знають, проявляють допитливість, то є така пропозиція: більше на занятті займатися дослідженням.",6,приходять,приходити,при,ходи́ти,люди,на,заняття,Acc,заняття,На,literal,,gold,,
352,Приїхали до Луцька також клуби з Вінничини та Чернівеччини.,0,Приїхали,приїхати,при,ї́хати,клуби,до,Луцька,Gen,луцька,До,literal,,gold,,
353,"Вона прийшла у добровільну санітарну дружину при Районному суспільстві Червоного Хреста, працювала санітаркою, будувала оборонні споруди під Можайськом.",1,прийшла,прийти,при,іти́/йти́,Вона,у,дружину,Acc,дружина,В,literal,,gold,,
354,"На цукрові заводи області було вивезено 605,1 тис. тонн солодких коренеплодів.",5,вивезено,вивезти,ви,везти́,,на,заводи,Acc,завод,На,literal,,gold,,
358,Сьогодні ж до вечірньої школи приходить інша молодь.,5,приходить,приходити,при,ходи́ти,молодь,до,школи,Gen,школа,До,literal,,gold,,
360,"Проте вже через 20 хвилин, цей же чоловік знову зайшов до відділення банку і на ходу дістаючи з кишені куртки пістолет попрямував до операційної кімнати банку.",9,зайшов,зайти,за,іти́/йти́,чоловік,до,відділення,Gen,відділення,До,literal,,gold,,
362,"Як розповіла продавець магазину, син Попова разом зі спільником забігли у приміщення з пістолетом, почали погрожувати їй та забирати гроші.",9,забігли,забігти,за,бíгти,син,у,приміщення,Acc,приміщення,В,literal,,gold,,
365,"На вулиці Театральній у Ковелі, де кладуть нову бруківку, дощова вода збігає мешканцям до під'їзду.",11,збігає,збігати,з,бíгати,вода,до,під'їзду,Gen,під’їзд,До,literal,,gold,,
367,"На місце тих, хто вибув, приходять нові й засновують нову справу.",5,приходять,приходити,при,ходи́ти,нові,на,місце,Acc,місце,На,literal,,gold,,
371,"На сцену вийшов Містер — відомий свого часу спортсмен, співак і брейкер, улюбленець жіночої статі, колишній ямненець, а зараз житель Італії Віктор Стельмах.",2,вийшов,вийти,ви,іти́/йти́,спортсмен,на,сцену,Acc,сцена,На,literal,,gold,,
375,"Мов почесна гостя, зайшла Дорка до подвір’я собору Софії, а німецький поліцай, якому вона видалася підозрілою і який хотів її наздогнати,— дістав кущ пилу в обличчя й од злості забув, куди хотів іти.",3,зайшла,зайти,за,іти́/йти́,,до,подвір’я,Gen,подвір’я,До,literal,,gold,,
379,"В першому – відбувся фальстарт, але учасники доїхали дистанцію до кінця.",7,доїхали,доїхати,до,ї́хати,учасники,до,кінця,Gen,кінець,До,literal,,gold,,
380,"Але зловмисник усе заперечував, заявив, що навіть не заходив на територію ферми й нічого не знає.",8,заходив,заходити,за,ходи́ти,,на,територію,Acc,територія,На,literal,,gold,,
389,"Зв’язували їх, виводили на міст і, до шиї камінь причепивши, кидали у ріку Волхова.",2,виводили,виводити,ви,води́ти,,на,міст,Acc,місто,На,literal,,gold,,
391,"Якось випадково на Хрещатику батько зустрів Павла Глазового, який тоді був заступником головного редактора журналу «Перець», і той запросив зайти до редакції.",19,зайти,зайти,за,іти́/йти́,,до,редакції,Gen,редакція,До,literal,,gold,,
395,"Тому прошу за 20 хвилин всіх змобілізувати і привести в зал. Зараз надаю слово для виступу від ""Опозиційного блоку"" Долженкову Олександру Валерійовичу.",8,привести,привести,при,вести́,,в,зал,Acc,зал,В,literal,,gold,,
406,На місце вже приїхала міліція.,3,приїхала,приїхати,при,ї́хати,міліція,на,місце,Acc,місце,На,literal,,gold,,
410,"Якщо у дошкільних закладах не дотримуватимуться теплового режиму, буде зроблено все можливе, щоб діти не постраждали – в першу чергу, їх зводитимуть в спільні групи.",21,зводитимуть,зводити,з,води́ти,,в,групи,Acc,група,В,literal,,gold,,
411,"З тих твердих намірів, з якими приїхали на собор і православна і уніятська сторона, видно було відразу, що спільного собору в них бути не може.",6,приїхали,приїхати,при,ї́хати,сторона,на,собор,Acc,собор,На,literal,,gold,,
424,"Менеджер оформить ваше замовлення, і якщо матеріал вам потрібен з доставкою, ми привеземо його у зручне для вас час.",12,привеземо,привезти,при,везти́,ми,у,час,Acc,час,В,literal,,gold,,
425,А ви спробуйте приїхати в Ізраїль і увімкнути Вагнера на всю силу.,3,приїхати,приїхати,при,ї́хати,,в,Ізраїль,Acc,ізраїль,В,literal,,gold,,
429,"Малюка можуть попросити відвезти з вашої палати на певний час, якщо потрібно зробити тест або щеплення.",3,відвезти,відвезти,від,везти́,,на,час,Acc,час,На,literal,,gold,,
430,"Човном ми перебралися через протоку біля виступу острова, вийшли на високий берег материка і рушили в північно-західному напрямку.",8,вийшли,вийти,ви,іти́/йти́,,на,берег,Acc,берег,На,literal,,gold,,
437,Через рік я приїхав додому у відпустку перед травневими святами.,3,приїхав,приїхати,при,ї́хати,я,у,відпустку,Acc,відпустка,В,literal,,gold,,
443,Матяш виліз на дерево і межи гіллям сховався.,1,виліз,вилізти,ви,лíзти,Матяш,на,дерево,Acc,дерево,На,literal,,gold,,
445,"Коли ми заходимо в будь-яке приміщення, то перше, на чому зупиняється наш погляд - це меблі і стіни.",2,заходимо,заходити,за,ходи́ти,ми,в,приміщення,Acc,приміщення,В,literal,,gold,,
454,"Сходіть на дикий пляж вночі, покатайтесь на американських гірках, приготуйте вечерю разом, сходіть в кінотеатр на новий фільм тощо. Просто робіть те, що приносить задоволення вам обом.",0,Сходіть,сходити,з,ходи́ти,,на,пляж,Acc,пляж,На,literal,,gold,,
460,"І ось принесли до храму цю свічку, запалили, освятили, і винесли.",2,принесли,принести,при,нести́,,до,храму,Gen,храм,До,literal,,gold,,
462,"Так що треба завтра прийти на площу Ринок, щоб не забували про наше місто!",4,прийти,прийти,при,іти́/йти́,,на,площу,Acc,площа,На,literal,,gold,,
465,До його могили приходять тисячi людей.,3,приходять,приходити,при,ходи́ти,людей,до,могили,Gen,могила,До,literal,,gold,,
470,"Що ж до конкретної географії подібних оздоровчих візитів, то зараз до нас приїздять лікуватися переважно пацієнти з держав східноєвропейського регіону та Африки.",12,приїздять,приїздити,при,ї́здити,пацієнти,до,нас,Gen,ми,До,literal,,gold,,
471,"У цій церкві в 1838 р. вперше в Качанівці співав хор під управлінням М. І. Глінки за участю знаменитого співака С. С. Гулака-Артемовського (1813-1873), що приїздив в Україну підбирати хлопчиків для хорової капели при царському дворі.",25,приїздив,приїздити,при,ї́здити,,в,Україну,Acc,україна,В,literal,,gold,,
472,"Коли українські війська стали підходити до молдавських кордонів, їм назустріч виступив на чолі 60-тисячної армії великий коронний гетьман Калиновський.",4,підходити,підходити,під,ходи́ти,,до,кордонів,Gen,кордон,До,literal,,gold,,
475,"Вона взяла різко вправо, перетнула дорогу і стала заходити противнику у фланг і тил, що вирішило результат бою і тут.",8,заходити,заходити,за,ходи́ти,,у,фланг,Acc,фланг,В,literal,,gold,,
476,"Виразне читання поезії А. А. Фета «Я прийшов до тебе, мила…»",7,прийшов,прийти,при,іти́/йти́,Я,до,тебе,Gen,ти,До,literal,,gold,,
479,"Ледь живого Адріана знову віднесли у в’язницю, а свята Наталія йшла слідом за ним.",4,віднесли,віднести,від,нести́,,у,в’язницю,Acc,в’язниця,В,literal,,gold,,
480,"В будь-якому разі перед Пасхою школярів попереджали, щоб вони у жодному випадку не приходили до церкви, порушників повинні були записувати та потім “розбиратися” із ними.",13,приходили,приходити,при,ходи́ти,вони,до,церкви,Gen,церква,До,literal,,gold,,
483,З цим простим питанням я прийшла сьогодні до лікарні.,5,прийшла,прийти,при,іти́/йти́,я,до,лікарні,Gen,лікарня,До,literal,,gold,,
487,"Дійшло до того, що Мануель Нойєр банально виносив м'яч на чужу половину поля.",7,виносив,виносити,ви,носи́ти,Мануель,на,половину,Acc,половина,На,literal,,gold,,
488,Пам’ять справжнього захисника України вони вшанували хвилиною мовчання та піднесли квіти до могили.,9,піднесли,піднести,під,нести́,,до,могили,Gen,могила,До,literal,,gold,,
491,"Коли закічилися Літургія, син сам встав з візочка, підійшов до мами і сказав: ""Мамо, ходімо додому"".",8,підійшов,підійти,під,іти́/йти́,,до,мами,Gen,мама,До,literal,,gold,,
497,"Христос прийшов на землю Ізраїлю, де його люд терпів від римського панування і зради власних еліт.",1,прийшов,прийти,при,іти́/йти́,Христос,на,землю,Acc,земля,На,literal,,gold,,
498,"Ми обов`язково будемо приходити до Вас в гості і надавати підтримку», - зазначила Олена Горпинченко.",3,приходити,приходити,при,ходи́ти,Ми,в,гості,Acc,гість,В,literal,,gold,,
499,"Біля новобудов власники новеньких квартир, а це було переважно сільське населення, яке приїхало до міста працювати на нововідкритих фабриках і заводах, вважали святим обов’язком посадити дерево.",12,приїхало,приїхати,при,ї́хати,яке,до,міста,Gen,місто,До,literal,,gold,,
503,"Якщо в когось бракує сил душевних, фізичних, людина ходить, аж заточується, Ніна Петрівна, радить взяти з собою когось із друзів чи близьких, відійти подалі в ліс і розпалити багаття.",22,відійти,відійти,від,іти́/йти́,,в,ліс,Acc,ліс,В,literal,,gold,,
508,"Азеведо скористався провалом оборони, увійшов до штрафного майданчика, але не пробив голкіпера.",4,увійшов,увійти,в,іти́/йти́,,до,майданчика,Gen,майданчик,До,literal,,gold,,
513,"Подумайте, скільки з тисячного потоку заходить в ці ресторани.",5,заходить,заходити,за,ходи́ти,,в,ресторани,Acc,ресторан,В,literal,,gold,,
515,"Мандоліно важко було дивитися, як старий кожен день повертався без улову, і він виходив на берег, щоб допомогти йому віднести снасті багор, гарпун і обернутий навколо щогли вітрило.",13,виходив,виходити,ви,ходи́ти,він,на,берег,Acc,берег,На,literal,,gold,,
517,"ЗО грудня до Харкова приїхав секретар ЦК ВКП(б) В.М.Молотов, який теж вимагав від політбюро ЦК КП(б)У форсування темпів хлібозаготівель.",4,приїхав,приїхати,при,ї́хати,секретар,до,Харкова,Gen,харків,До,literal,,gold,,
520,"Поки військовий служить, він має жити у штатно-посадовому житлі, приїхав у Львів, взяв ключі, живе в квартирі.",9,приїхав,приїхати,при,ї́хати,,у,Львів,Acc,львів,В,literal,,gold,,
522,П'яний водій виїхав на тротуар і збив двох пішоходів.,2,виїхав,виїхати,ви,ї́хати,водій,на,тротуар,Acc,тротуар,На,literal,,gold,,
527,Приходьте 14 вересня 2019 року на другий обласний лісівничо-просвітницький фестиваль «Пізнай ліс!»,0,Приходьте,приходити,при,ходи́ти,,на,фестиваль,Acc,фестиваль,На,literal,,gold,,
529,"Я підвівся і підійшов до вікна, що не мало-справжніх тюремних ґрат, а було защельоване негрубими залізними прутами.",3,підійшов,підійти,під,іти́/йти́,,до,вікна,Gen,вікно,До,literal,,gold,,
533,"Яйцеклітина вийшла у фалопієву трубу, була запліднена і имплантировалась в матку.",1,вийшла,вийти,ви,іти́/йти́,Яйцеклітина,у,трубу,Acc,труба,В,literal,,gold,,
535,"Кожна людина, яка заходить в приміщення Дерманської гімназії, звертає увагу на меморіальну дошку з написом ""Тут в 1917-1920 роках навчався Улас Самчук, видатний український письменник"" і його барельєф-портрет.",3,заходить,заходити,за,ходи́ти,яка,в,приміщення,Acc,приміщення,В,literal,,gold,,
537,"На мою думку, це є лише збільшене вражіння від балачок населення з переходячими частинами нашої армії, бо коли б дійсно щось готовилося, то хтось мусів би прийти і до нас.",26,прийти,прийти,при,іти́/йти́,,до,нас,Gen,ми,До,literal,,gold,,
538,На зустріч з дев’ятикласниками ЗОШ №2 (класний керівник Бойко О.С.) прийшла лікар-дерматолог районної лікарні Онищенко Лідія Павлівна.,10,прийшла,прийти,при,іти́/йти́,лікар,на,зустріч,Acc,зустріч,На,literal,,gold,,
545,"Олександр Сімочев привів до нас своїх вихованців і нам було цікаво спілкуватись одне з одним, бібліотекарям - розповідати про книжки, дітям - співати на знак подяки.",2,привів,привести,при,вести́,Олександр,до,нас,Gen,ми,До,literal,,gold,,
558,Під загрозою повного оточення командувач групи армій генерал И. Гарпе 23 липня віддав наказ своєму війську залишити місто і відходити у бік Самбора.,19,відходити,відходити,від,ходи́ти,,у,бік,Acc,бік,В,literal,,gold,,
560,"Хоча сусіди розповіли, що часто бачать боржника, який виходить на балкон палити.",8,виходить,виходити,ви,ходи́ти,який,на,балкон,Acc,балкон,На,literal,,gold,,
562,"Він також виступив проти ДНР і ЛНР, хоча на референдум на підтримку цього утворення вийшли мільйони людей.",14,вийшли,вийти,ви,іти́/йти́,мільйони,на,підтримку,Acc,підтримка,На,literal,,gold,,
564,В кінці лютого Жолкєвский прийшов на Волинь – і почалася перша справжня війна польської Корони з козаками.,4,прийшов,прийти,при,іти́/йти́,Жолкєвский,на,Волинь,Acc,волинь,На,literal,,gold,,
