Object_lemma,count
статус,6
салон,6
репутація,6
відчай,6
слава,6
двадцяток,6
гроб,6
альбий,6
кафе,6
угода,6
законодавство,6
фактор,6
календар,6
каталога,6
туалет,6
батьківщина,6
намет,6
декларація,6
клуб,6
функціонування,6
музей,6
узбіччя,6
джерело,6
поняття,6
дніпро,5
збір,5
асоціація,5
конструкція,5
бій,5
басейн,5
мікрофлор,5
вагон,5
боротьба,5
тінь,5
переконання,5
камера,5
регламент,5
затвердження,5
психіка,5
сезон,5
лікування,5
печінка,5
ісус,5
прибуток,5
кладовище,5
холдинг,5
слід,5
процедура,5
христ,5
ресурс,5
визнання,5
ізраїль,5
концепція,5
студія,5
результативність,5
аптека,5
пора,5
смерть,5
чернівці,5
дохід,5
тіло,5
монастир,5
траса,5
дебата,5
покоління,5
п’єдестал,5
тиждень,5
фармакокінетика,5
підприємство,5
термін,5
аеропорт,5
правило,5
речовина,5
поміч,5
юрисдикція,5
город,5
подія,5
каса,5
право,5
порожнина,5
інтернет,5
величина,5
загибель,5
син,5
вівторок,5
стадіон,5
ужиток,5
скарбничка,5
становлення,5
полтава,5
послуга,5
тканина,5
палата,5
глибина,5
безпека,5
с.,5
відносини,5
становище,5
петербург,5
тротуар,5
спальня,5
карта,5
твір,5
занепад,5
поліклініка,5
продукт,5
станція,5
хвірий,5
шпиталь,5
луцька,5
матеріал,5
рівне,5
ставка,5
ділянка,5
престол,5
виручка,5
основа,5
рослина,5
рівняння,5
блок,5
будівництво,5
сприйняття,5
вміст,5
дружина,5
мить,5
демонстрація,5
дизайн,5
волинь,5
набір,4
повітря,4
клініка,4
мотивація,4
графік,4
ідея,4
священик,4
природа,4
хребет,4
борг,4
підготовка,4
літо,4
м’яз,4
референдум,4
суміш,4
прояв,4
пробіжка,4
отця,4
свобода,4
сусід,4
телефон,4
учасник,4
тренування,4
щабель,4
неділя,4
1,4
вивчення,4
бажання,4
акт,4
аспект,4
повіт,4
закінчення,4
гараж,4
пріоритет,4
поліція,4
банкрутство,4
штаб,4
пара,4
ремонт,4
інститут,4
посібник,4
містечко,4
покращення,4
риса,4
святкування,4
версія,4
знання,4
половина,4
будь-який,4
жінка,4
доля,4
облік,4
родич,4
обід,4
спадщина,4
батьки,4
нуля,4
нуль,4
молитва,4
селище,4
секція,4
пацієнт,4
поверх,4
реалізація,4
парк,4
представник,4
працівник,4
сад,4
успішність,4
порт,4
космос,4
околиця,4
піхва,4
собор,4
попит,4
чвертьфінал,4
екологія,4
підмога,4
розряда,4
хто,4
плюс,4
вимога,4
параметр,4
капітал,4
дошка,4
пошта,4
дані,4
протокол,4
розпад,4
одеса,4
виклик,4
властивість,4
суботник,4
галичина,4
небеса,4
ратуш,4
відповідь,4
таксі,4
продуктивність,4
зупинка,4
проведення,4
ризик,4
вечірка,4
полонина,4
вокзал,4
трибуна,4
будівля,4
поширення,4
рубіж,4
італія,4
університет,4
інтерес,4
компонент,4
уряд,4
літопис,4
звук,4
ріка,4
забезпечення,4
режим,4
сіни,4
володіння,4
субота,4
труба,4
північ,4
сегмент,4
завод,4
зима,4
колекція,4
ялинка,4
тебе,4
наука,4
катал,4
співпраця,4
експорт,4
додаток,4
стабільність,4
ухвалення,4
імідж,4
аукціон,4
заробіток,4
руйнування,4
воріт,4
вистава,4
обличчя,4
українець,4
метаболізм,4
євромайдан,4
портал,4
антологія,4
строк,4
похорон,4
криза,4
військкомат,4
диспло,4
замовлення,4
стінка,4
небуття,4
слухач,3
епоха,3
фільм,3
дискурс,3
п.,3
напрямок,3
різдво,3
річ,3
стежка,3
рот,3
їдальня,3
шар,3
розробка,3
двигун,3
пропозиція,3
тиск,3
комфорт,3
діапазон,3
написання,3
збереження,3
м,3
здійснення,3
канал,3
припинення,3
дарунок,3
мама,3
серія,3
пам’ятка,3
середа,3
стійкість,3
неможливість,3
секретар,3
в’язниця,3
панель,3
значення,3
терен,3
покій,3
неволя,3
особа,3
віконець,3
травм,3
ланка,3
мордовій,3
зрив,3
вечір,3
колиб,3
чисельність,3
взаємодія,3
мати,3
гуртожиток,3
сліз,3
запис,3
еліта,3
підхід,3
напрям,3
енциклопедія,3
другий,3
жанр,3
свят,3
довір,3
розрив,3
колія,3
замок,3
галявина,3
ознака,3
кошик,3
штат,3
інструмент,3
взуття,3
залоза,3
задача,3
ускладнення,3
потреба,3
процвітання,3
трагедія,3
спільнота,3
метод,3
помилка,3
клітинка,3
поділля,3
класик,3
вівтар,3
обійстя,3
ліг,3
крамничка,3
розвал,3
портфель,3
садок,3
позитив,3
рейд,3
лавра,3
небес,3
карпати,3
стосунок,3
кондиція,3
царя,3
ранок,3
запрошення,3
присутні,3
пагорб,3
долина,3
дух,3
око,3
розряд,3
рядок,3
японія,3
варшава,3
причастя,3
ставлення,3
доба,3
колега,3
формула,3
євро,3
встановлення,3
адреса,3
міра,3
профспілка,3
гребінь,3
відновлення,3
рекомендація,3
отг,3
замішання,3
синтез,3
віра,3
містечка,3
інтелект,3
садочок,3
потужність,3
запас,3
фаза,3
виділення,3
здібність,3
ера,3
русь,3
зір,3
ім’я,3
тонус,3
зустрічний,3
катастрофа,3
градус,3
дзеркало,3
донбас,3
впровадження,3
співробітник,3
краха,3
перегляд,3
келія,3
вибух,3
паркет,3
довговічність,3
реанімація,3
марш,3
батько,3
брама,3
традиція,3
пляж,3
лабораторій,3
гармонія,3
виступ,3
парижа,3
міністерство,3
змагання,3
хлопець,3
русло,3
звіт,3
статут,3
нарада,3
власність,3
ніч,3
колонія,3
академія,3
читання,3
згода,3
богослужіння,3
сам,3
депресія,3
галера,3
транспорт,3
протистояння,3
ст.,3
печера,3
тривалість,3
екскурсія,3
страйк,3
сміттєзвалище,3
віч,3
під’їзд,3
усвідомлення,3
плоть,3
більшість,3
самооцінок,3
волосся,3
захоплення,3
керівник,3
довідник,3
розкіл,3
конкурентоспроможність,3
клімат,3
ґанок,3
петроград,3
виток,3
мова,3
стіна,3
керівництво,3
єс,3
відчуття,3
груди,3
берлін,3
ліквідація,3
рука,3
індустрія,3
вантажівка,3
рака,3
рамка,3
фланг,3
розширення,3
куточок,3
розміщення,3
корпорація,3
еволюція,3
плід,3
сказ,3
ґрунт,3
співтовариство,3
лексикон,3
музика,3
економія,3
тематика,3
дар,3
понеділок,3
америка,3
п’ятниця,3
альянс,3
лист,3
амбулаторій,2
оксана,2
нога,2
дистанція,2
бал,2
контекст,2
підручник,2
антіохія,2
оновлення,2
поміст,2
мелітополь,2
нічий,2
самознищення,2
департамент,2
громадськість,2
альб,2
індія,2
купа,2
звалище,2
петро,2
привабливість,2
кафедра,2
король,2
користувач,2
заголовок,2
митрополит,2
сервіс,2
анатолій,2
депутат,2
човен,2
реалії,2
кампанія,2
газон,2
канада,2
маєтка,2
потенція,2
фермент,2
гідність,2
хвороб,2
протиріччя,2
господарство,2
сибір,2
суперечність,2
відання,2
стрічка,2
чоловік,2
вжиток,2
переговори,2
зміцнення,2
апарат,2
ужгород,2
шій,2
шевченко,2
співвідношення,2
перекура,2
дівчина,2
особливість,2
похід,2
документація,2
град,2
федерація,2
всмоктування,2
культ,2
темрява,2
рецептура,2
говерл,2
емоція,2
розставання,2
скидання,2
небезпека,2
оплата,2
відень,2
присяга,2
розв’язання,2
консенсус,2
розвідка,2
парний,2
барикада,2
дітки,2
крадіжка,2
корабель,2
першопричина,2
сьогодення,2
ферма,2
колір,2
дах,2
установа,2
запустіння,2
новосибірська,2
кам’янця,2
хмар,2
організатор,2
ніс,2
куток,2
перехрестя,2
га,2
участь,2
гурт,2
світогляд,2
темпа,2
принцип,2
студент,2
кадастр,2
платформа,2
незалежність,2
інфраструктура,2
безвихідь,2
книгарня,2
служіння,2
помешкання,2
співробітництво,2
відомість,2
котрий,2
училище,2
нерест,2
вісімок,2
голгоф,2
шафа,2
кастинг,2
дно,2
технологія,2
спілкування,2
журналіст,2
фігура,2
пивниця,2
сквер,2
суб’єкт,2
охорона,2
тунель,2
костел,2
спектр,2
етнос,2
фахівець,2
слідчий,2
презентація,2
лиман,2
очок,2
розклад,2
вена,2
новий,2
інтернат,2
колегія,2
спасіння,2
умань,2
розмова,2
прага,2
яма,2
тріада,2
розбудова,2
уста,2
бабуся,2
площадка,2
замір,2
поєдинка,2
стратегія,2
дестабілізація,2
усунення,2
прохання,2
церемонія,2
крайність,2
міськрада,2
палітр,2
відзначення,2
отримання,2
гуртка,2
кілограм,2
апетит,2
гавань,2
страва,2
куб,2
смертність,2
співбесіда,2
загін,2
розлад,2
франція,2
імперія,2
свій,2
квартал,2
трап,2
панахид,2
пікет,2
перевірка,2
каша,2
смта,2
килим,2
засвоєння,2
літургій,2
молодий,2
промисел,2
десятиліття,2
ступор,2
автор,2
обитель,2
тайм,2
царина,2
яв,2
сценарії,2
пухлина,2
крайнощ,2
резерв,2
сімка,2
виробництво,2
сукупність,2
ража,2
батьковбивство,2
вечеря,2
трактування,2
яму,2
барак,2
вираження,2
кавказ,2
знак,2
парад,2
графа,2
тил,2
схильність,2
південь,2
дворик,2
монархія,2
аеродр,2
оператор,2
вміння,2
вручення,2
борт,2
врожайність,2
цех,2
африка,2
злиття,2
партнер,2
обрізка,2
півостр,2
тераса,2
стаж,2
перспектив,2
автомобіль,2
слово,2
акваторія,2
доріжка,2
площина,2
р.,2
нірка,2
виробник,2
рим,2
модель,2
журнал,2
формат,2
кав’ярня,2
жарт,2
авансцена,2
цвинтар,2
рецептор,2
ритм,2
посадка,2
вух,2
сонце,2
зовнішність,2
назва,2
контратак,2
розпач,2
вираз,2
хвиля,2
чужина,2
філія,2
молодик,2
механізм,2
перехід,2
спортзал,2
дивосвіт,2
посилення,2
спілка,2
п’ять,2
одужання,2
поворот,2
грибка,2
паводок,2
член,2
гріха,2
щось,2
поломка,2
корпус,2
ослаблення,2
прибирання,2
картина,2
надійність,2
криниця,2
вчитель,2
поширеність,2
повстання,2
гніздо,2
згадка,2
внук,2
оргазм,2
рай,2
каховка,2
огорожа,2
проживання,2
іран,2
кошторис,2
випадок,2
молодь,2
фінансування,2
удосконалення,2
поезія,2
головний,2
житомир,2
подолання,2
безпліддя,2
захворювання,2
житель,2
маївка,2
воїн,2
індекс,2
полігон,2
творчість,2
вир,2
святилище,2
єрусалий,2
не,2
володимир,2
стажування,2
планування,2
казарма,2
біржа,2
вінниця,2
раунд,2
дозвіл,2
зіткнення,2
темп,2
піст,2
комунікація,2
плеяда,2
розкриття,2
роздягальний,2
полос,2
четвірка,2
миколаївка,2
вежа,2
хрищення,2
херсон,2
двобій,2
океан,2
каменя,2
метр,2
реформ,2
такий,2
іспит,2
подорож,2
комора,2
автобус,2
інвестиція,2
кишка,2
ньог,2
оснащення,2
логіка,2
послаблення,2
асортимент,2
достоїнство,2
дач,2
монастиря,2
зближення,2
вогонь,2
травмпункт,2
реєстрація,2
ліфт,2
симона,2
цілісність,2
імператор,2
медзаклад,2
одиниця,2
ожиріння,2
садиба,2
зупинок,2
вибірка,2
публіцистика,2
випуск,2
мешканець,2
горище,2
подіум,2
крамниця,2
поїзд,2
сучасність,2
плавання,2
варіант,2
екосистема,2
абсорбція,2
правління,2
єдність,2
великдень,2
а,2
честь,2
військо,2
молоко,2
райвідділ,2
пальто,2
підніжжя,2
святість,2
беріг,2
2,2
божевілля,2
поріг,2
абсурд,2
сітки,2
колапса,2
приймальний,2
літургія,2
рід,2
попередження,2
донецьк,2
картка,2
порушник,2
згортання,2
рівноваг,2
перебудова,2
вогник,2
мілина,2
почуття,2
придбання,2
судина,2
гаманець,2
пробірка,2
китай,2
пуття,2
бригада,2
гроші,2
кишеня,2
досконалість,2
озеро,2
поліпшення,2
ціноутворення,2
кліщ,2
спорт,2
присутність,2
донецький,2
доступність,2
актив,2
консорціум,2
кооператив,2
командир,2
профілактика,2
хліва,2
вироблення,2
готовий,2
салат,2
атак,2
шахта,2
блог,2
казахстан,2
тварина,2
хатина,2
вінниччина,2
розпис,2
складність,2
поєднання,2
тернополь,2
особистість,2
тому,2
фортеця,2
в.,2
перевал,2
вага,2
плата,2
класифікатор,2
господар,2
том,2
покажчик,2
тенденція,2
останній,2
костюма,2
максим,2
губерній,2
гриль,2
матка,2
достовірність,2
ларьок,1
найменування,1
вовчинець,1
відрядження,1
гідропарк,1
сукня,1
гаван,1
маршруток,1
легітимація,1
замовник,1
застосування,1
банда,1
промисл,1
альманах,1
звернення,1
формулювання,1
гугл,1
тюнінг,1
озимий,1
офіційний,1
петля,1
ліпший,1
безумство,1
нья,1
сертифікат,1
річище,1
суть,1
погруддя,1
податок,1
резидент,1
фура,1
дед,1
підгруп,1
штани,1
очікування,1
гартування,1
корупція,1
розвалина,1
регістр,1
хворіб,1
гостина,1
новоприбулий,1
нпп,1
нудота,1
пірамід,1
відвідування,1
криничка,1
основний,1
заслуг,1
пакета,1
парафія,1
погляд,1
адаптація,1
півсотні,1
розгромне,1
галиця,1
перше,1
портфолiо,1
посадовець,1
небезпечний,1
обвал,1
баскетбол,1
диск,1
словник,1
щеплення,1
привитання,1
євроринок,1
промисловість,1
з.,1
галактика,1
нежитловий,1
розробок,1
рекорд,1
ліки,1
сполука,1
протестувальник,1
радгосп,1
метрик,1
реставрація,1
регiон,1
єдарп,1
стравохiд,1
год.,1
мікс,1
робочий,1
ільців,1
сколе,1
боулінг,1
сумочка,1
здоровя,1
усний,1
україністика,1
фінікса,1
халупа,1
вивіска,1
весна,1
скансен,1
збер╕гання,1
проблематика,1
соціопат,1
мінливість,1
ченець,1
мікроманіпуляція,1
код,1
спокуса,1
мерія,1
гротеска,1
розсіювання,1
переосмислень,1
пропив,1
полян,1
виріб,1
наказ,1
сплава,1
нацради,1
товар,1
теорій,1
тернопільський,1
ранжування,1
інгредієнт,1
стад,1
інцидент,1
проростання,1
габарит,1
мікроорганізм,1
довжина,1
брониця,1
ніна,1
проріз,1
уявлень,1
споруда,1
млина,1
парадокс,1
художне,1
м’яч,1
тис.,1
кохавин,1
управа,1
дисциплін,1
яйл,1
капела,1
пограниччя,1
осередка,1
ретроспектив,1
шрі,1
пз,1
шпалер,1
юрія,1
іллінеччин,1
корист,1
біль,1
терапія,1
криз,1
кп(,1
герой,1
локація,1
льоші,1
міськпрофрад,1
мина,1
мікроавтобус,1
медогляд,1
чай,1
екзаменатор,1
угруповання,1
складання,1
паніль,1
сітка,1
автocтoянко,1
страт,1
здобуття,1
господа,1
покарання,1
ввп,1
ознайомлення,1
глава,1
спільність,1
корчма,1
обовязок,1
конклав,1
конотоп,1
смс,1
підвіска,1
готовнiсть,1
алгоритм,1
довершеність,1
мура,1
вмираючий,1
люде,1
запалення,1
співак,1
шлунок,1
сергій,1
кластер,1
розвантаження,1
оболонка,1
землеволодіння,1
місяцеслов,1
ядро,1
гіпермаркет,1
городок,1
заготовок,1
видiлення,1
розігрування,1
стереотип,1
осмислення,1
канади,1
праця,1
передумова,1
хиб,1
пасовиська,1
бородянко,1
дріт,1
адд,1
ген,1
прокльова,1
мольфар,1
гор,1
устя,1
хрест,1
собака,1
станіслав,1
герець,1
оза,1
весілля,1
канаб,1
орло,1
мананг,1
прискорення,1
осмд,1
екон,1
журя,1
сочі,1
технікум,1
укладання,1
яйце,1
містка,1
котурон,1
персонал,1
відток,1
сте,1
гостьовий,1
платівка,1
новина,1
пані,1
дискотека,1
годинка,1
фейсбук,1
говерли,1
перевога,1
напівготовність,1
вибуття,1
ссз,1
відключення,1
тичинка,1
делегація,1
куп,1
десятиріччя,1
дублянка,1
дуета,1
розквіт,1
держдум,1
пку,1
першоцвіт,1
запозичення,1
обруч,1
підгаєччин,1
аккаунт,1
сало,1
позначка,1
лежанка,1
причеп,1
дверцят,1
сходинок,1
вітер,1
нагорода,1
безпечність,1
географія,1
герасим,1
криштал,1
провіянтський,1
передпокія,1
завоювання,1
ростова,1
цибулина,1
гарант,1
точність,1
кугуки,1
розгром,1
приклад,1
буття,1
їжа,1
ігумен,1
найменший,1
бездоріжжя,1
нея,1
10,1
внутрішній,1
сигнал,1
калюжа,1
іннервація,1
зб.,1
репресія,1
новопскова,1
атрофія,1
пров,1
теща,1
негідність,1
єдр,1
ганок,1
сер.,1
опочивальний,1
експресія,1
угорщина,1
норвегія,1
рф,1
реконструкція,1
факультет,1
профіль,1
пуск,1
космодр,1
ескалатор,1
власник,1
дванадця,1
верхівка,1
забудова,1
гущина,1
рсфрр,1
орендар,1
бан,1
ущільнення,1
психоаналітика,1
мотузка,1
жнива,1
позик,1
моэлигиум,1
піп,1
опис,1
розпорядження,1
випас,1
казка,1
адренорецептор,1
кровотік,1
хворий,1
диспетчер,1
патрулювання,1
лож,1
словар,1
долин,1
графина,1
добросовісність,1
садовий,1
тісто,1
кіровоградщина,1
наркоманія,1
покуть,1
запоріжжя,1
вимов,1
князівство,1
венеролог,1
шум,1
мельник,1
потяг,1
боєздатність,1
галявинка,1
мікроклімат,1
мікроциркуляція,1
медіа,1
споріднений,1
бода,1
гепатит,1
немиров,1
кропивничанка,1
роботодавець,1
зсува,1
трилогія,1
ансамбль,1
бодлер,1
скайп,1
білгорода,1
бушера,1
василь,1
лурнбіхля,1
слобода,1
голодування,1
вендинг,1
затверджений,1
маркер,1
туркменістан,1
правовідносина,1
тариф,1
анулювання,1
верх,1
отвір,1
пристрій,1
олігоцена,1
відсторонення,1
посольство,1
волинський,1
водойма,1
радіо,1
рiшення,1
ягід,1
голий,1
святиня,1
австрія,1
альбім,1
аналог,1
оточення,1
файл,1
расшеватскуй,1
№,1
виріз,1
гущавина,1
губернія,1
швейцарія,1
черкеськ,1
міліція,1
хрестомат,1
режисура,1
перевиробництво,1
притулок,1
відстійник,1
приймання,1
вечірня,1
2015рік,1
неплатоспроможність,1
скинія,1
спочинок,1
усе,1
мощ,1
стенд,1
коломан,1
балет,1
менеджер,1
страховка,1
кінь,1
інше,1
дельфінарій,1
санаторій,1
нмбд,1
гавадзин,1
вчинок,1
столик,1
живоплот,1
куйаб,1
старець,1
омолодження,1
спроможність,1
сільрад,1
красуня,1
кудеяр,1
тік,1
легенда,1
каточка,1
релігія,1
500мл,1
епітелій,1
поперека,1
самопізнання,1
короткозорість,1
укргазвидобування,1
облаштування,1
тонна,1
комлектація,1
ки-їв,1
м’ячо,1
лава,1
переробка,1
підігрівання,1
монографія,1
акціонер,1
кан,1
опера,1
знищення,1
фашист,1
сопричастя,1
мисливство,1
магістрат,1
макроцикл,1
баланс,1
алея,1
карбон,1
стадо,1
пенькі,1
рабин,1
живий,1
кишечник,1
жуп,1
пристань,1
поліглотик,1
травмування,1
білозірка,1
кіця,1
фемід,1
куточка,1
бєспрєдєл,1
укладення,1
шаман,1
греки,1
цесар,1
павло,1
відмова,1
в,1
проникність,1
оренда,1
товщ,1
сопстро,1
розлучення,1
невозврат,1
порція,1
медсестр,1
розщеплення,1
почастішання,1
міцп,1
єрусалим,1
кн.,1
старіння,1
токсичність,1
представництво,1
отець,1
канів,1
маніфестація,1
квартет,1
авангард,1
хвіст,1
пояснення,1
найцікавіше,1
ядер,1
дискредитація,1
спроба,1
узбережжя,1
стипендія,1
ворог,1
виведення,1
ерс,1
патрубок,1
збиток,1
заклик,1
узлісся,1
автоматизм,1
законодавець,1
тракт,1
анатомія,1
противаг,1
дієт,1
борозна,1
нормальний,1
магістраль,1
червоноїкниг,1
французький,1
кухар,1
київрад,1
порозуміння,1
василинка,1
вентиляція,1
автомат,1
кривда,1
рад,1
викладачка,1
дідича,1
казок,1
порода,1
обслідування,1
союзник,1
начальниця,1
л.,1
інструкція,1
метафізика,1
деспотизм,1
ввезення,1
надсистема,1
нагода,1
фронт,1
бонус,1
білоцерки,1
ювіль,1
гімнастика,1
мішка,1
з’єднання,1
терморегулятор,1
мона,1
стіс,1
манастир,1
офіс(,1
апартамент,1
копія,1
церков,1
ініціатива,1
кошти,1
запасання,1
слад,1
ширина,1
вагітність,1
остова,1
обстеження,1
мілан,1
непорозуміння,1
послухання,1
запитання,1
голос,1
кручя,1
маркела,1
горинів,1
тривання,1
ідола,1
синяка,1
діло,1
вірність,1
шефшфуен,1
двiр,1
провід,1
здивування,1
яснобачення,1
синичка,1
свинок,1
30-частина,1
пошкодження,1
кліматсправа,1
видужання,1
чолула,1
адріана,1
перемова,1
старий,1
датчик,1
вантаж,1
бриж,1
інтерв’ю,1
банкомат,1
розташований,1
пула,1
урср,1
регенерація,1
носій,1
українська,1
сенат,1
розбавлення,1
чистота,1
бразилій,1
децентралізація,1
операційний,1
команд,1
фпг,1
хтось,1
забруднення,1
революція,1
ведучий,1
соснівка,1
аромат,1
кузина,1
кайдан,1
висування,1
територ,1
ефект,1
горло,1
клячання,1
стілець,1
радіоприймач,1
ску,1
нарис,1
плетиво,1
мастершеф,1
риб,1
позичальник,1
низка,1
азербайджанець,1
функціональність,1
арбітр,1
маркетинг,1
шістка,1
передозування,1
плинність,1
об’єктивність,1
пастир,1
офшора,1
синоп,1
струм,1
алергень,1
протікання,1
купка,1
купюроприймач,1
сварка,1
пупка,1
ковеля,1
світлани,1
міжбанка,1
англія,1
андрій,1
конфесія,1
збудник,1
покрив,1
прогрес,1
моз,1
13,1
дефолт,1
нейрохірургія,1
колдуна,1
торт,1
м’який,1
сховок,1
іваненко,1
рецидив,1
частота,1
захоплюючий,1
знайомство,1
поручень,1
морена,1
планета,1
демплатформ,1
мобе,1
оперний,1
будова,1
азс,1
перед,1
звід,1
наріда,1
біодоступність,1
джеймс,1
вушко,1
єлизавета,1
товщина,1
лічниця,1
краса,1
погроз,1
псалтиря,1
ростов,1
ремісія,1
сватове,1
кабіна,1
поінформованість,1
хвилинка,1
ярус,1
короленко,1
интоксикационний,1
авигай,1
улаштування,1
енциклопедій,1
радикалізація,1
заповнення,1
порошенко,1
пмп,1
"інтер""єр",1
чий,1
протиставлення,1
марс,1
кременчука,1
теплозбереження,1
тернопіль,1
виборець,1
пaм’ять,1
прощання,1
скачка,1
пирога,1
не-суперечність,1
хрещатик,1
олена,1
розпорядка,1
компроміс,1
фінляндія,1
бердиців,1
сліпота,1
виїзд,1
з’ясування,1
50-річчя,1
агресія,1
діянь,1
сповідь,1
філософія,1
олімпіада,1
роздягальні,1
канон,1
дипмісія,1
платоспроможність,1
ведення,1
застосовність,1
ворожеська,1
потилиця,1
озерянка,1
дев’ятка,1
лиця,1
малярство,1
імпорт,1
іонія,1
нива,1
кубань,1
зво,1
відносин,1
політсил,1
вакуй,1
бір,1
приплід,1
доробок,1
любитель,1
бродив,1
